@relation 'statAttr-weka.filters.unsupervised.attribute.Remove-R1-5,7-8,14-16,18-19'

@attribute PMI(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute novel(B) numeric
@attribute label {important,unimportant}

@data
-0.831644,0.000726,0.001063,0.223488,0.141892,1,1,unimportant
-2.224463,0.000184,0.000427,0.076458,0.031527,0,1,unimportant
-0.14711,0.000959,0.000381,0.302427,0.139146,0,1,unimportant
3.386229,0.003802,0.002854,0.494604,0.450736,0,1,unimportant
2.287616,0.004274,0.002193,0.486065,0.376634,0,1,unimportant
0.873923,0.001138,0.000814,0.335406,0.243725,0,1,unimportant
0.325958,0.000633,0.001585,0.235324,0.270251,0,1,unimportant
-0.527154,0.000516,0.002168,0.187849,0.240673,0,1,unimportant
2.725973,0.001713,0.015844,0.339234,0.54781,0,1,unimportant
-3.219456,0.000227,0.00115,0.094267,0.135925,0,1,unimportant
-0.108835,0.00206,0.001569,0.390601,0.305647,0,1,unimportant
2.061303,0.002033,0.000483,0.44923,0.306697,0,1,unimportant
0.853472,0.001872,0.005759,0.325071,0.356989,0,0,unimportant
1.300852,0.00531,0.000466,0.518718,0.259416,0,1,unimportant
0.575679,0.001372,0.000433,0.366227,0.202214,0,1,unimportant
0.178847,1,0.000414,1,0.176447,0,1,unimportant
0.684548,0.008811,0.000441,0.561156,0.214483,0,1,unimportant
-0.053884,0.015419,0.001014,0.585366,0.225569,0,1,unimportant
-1.543954,0.001385,0.000507,0.297679,0.064117,0,1,unimportant
-0.991025,0.000398,0.000757,0.16106,0.10959,0,1,unimportant
-1.121486,0.001501,0.000279,0.320771,0.037873,0,1,unimportant
0.500861,0.000247,0.003447,0.10293,0.275488,0,0,unimportant
2.298255,0.000539,0.013868,0.212214,0.531004,0,1,unimportant
3.172654,0.001669,0.003221,0.400301,0.438379,0,1,unimportant
-2.107421,0.000447,0.00033,0.174913,0.006744,0,1,unimportant
5.150003,0.030928,0.015424,0.717651,0.640528,0,1,important
5.311064,0.0131,0.026442,0.641751,0.682155,0,1,important
1.092699,0.001529,0.001178,0.394785,0.339414,0,1,important
2.785724,0.003922,0.002222,0.529382,0.44731,0,1,unimportant
1.357582,0.001934,0.001627,0.408141,0.353993,0,1,unimportant
0.496042,0.000251,0.000958,0.199457,0.272967,0,0,unimportant
1.187459,0.001847,0.001565,0.402966,0.348344,0,1,unimportant
4.215693,0.004566,0.007282,0.545752,0.567233,0,1,unimportant
2.268933,0.002648,0.006047,0.437182,0.489519,0,1,unimportant
-1.263903,0.000937,0.000181,0.326301,0.094293,0,1,unimportant
1.087993,0.000812,0.001403,0.321602,0.332912,0,1,unimportant
0.195457,0.001455,0.000637,0.376803,0.246412,0,1,unimportant
3.059261,0.003509,0.002083,0.518001,0.43477,0,1,unimportant
-0.586716,0.000091,0.000624,0.098436,0.221944,0,0,unimportant
4.456855,0.006173,0.002801,0.59452,0.523808,0,1,unimportant
7.5984,0.005128,0.031746,0.560573,0.723025,0,1,important
0.86527,0.000668,0.000191,0.297538,0.17768,0,0,unimportant
1.355121,0.002933,0.000266,0.442295,0.212294,0,1,unimportant
2.440331,0.00486,0.000605,0.495183,0.295743,0,1,unimportant
1.315546,0.000069,0.000277,0.079318,0.213211,0,0,unimportant
6.043418,0.064904,0.004695,0.755449,0.525214,0,1,important
7.338926,0.020086,0.007968,0.639284,0.590457,0,1,important
3.848876,0.001025,0.000226,0.245959,0.227898,0,1,unimportant
5.162057,0.000503,0.001962,0.188852,0.430299,0,1,unimportant
0.682652,0.000091,0.000018,0,0,0,0,unimportant
5.32506,0.002364,0.002571,0.412958,0.472074,0,1,unimportant
1.140208,0.00075,0.000074,0.198751,0.123642,0,0,unimportant
3.490345,0.003887,0.000908,0.385536,0.35479,0,1,unimportant
3.445494,0.003239,0.03652,0.466391,0.549822,0,1,important
4.553542,0.004692,0.03045,0.504658,0.57026,1,1,important
4.156262,0.025875,0.031763,0.661551,0.573915,0,1,important
4.95982,0.009643,0.072688,0.569497,0.669661,0,1,important
2.004909,0.003048,0.013838,0.460775,0.40017,0,1,important
2.407215,0.000704,0.007795,0.325251,0.341899,0,1,important
2.876446,0.002311,0.003828,0.441208,0.334128,0,1,important
