@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
2,1,0.2,0.166667,0.746136,0.564911,0.346574,0,0.002109,0.00092,0.290943,0.198526,0,0,2800,520,1,1,2,unimportant
90,1,0.535714,0.2,4.374354,0.386466,0.075692,0,1,0.000306,1,0.061336,0,0,3347,544,1,1,12,unimportant
5,1,0.416667,0.5,2.445968,1.348452,0.250201,0,0.002091,0.000428,0.313381,0.139448,0,0,1279,390,1,1,7,unimportant
1,7,0.125,0.233333,0.636642,3.094473,0,0.318567,0.00032,0.003883,0.074609,0.397455,0,0,1562,491,0,3,1,unimportant
1,4,0.166667,0.444444,0.084922,1.983138,0,0,0.000265,0.00155,0.023777,0.264194,0,0,2712,515,1,10,1,unimportant
3,2,0.157895,0.333333,-1.719155,-1.612698,0,0,0.000122,0.000155,0,0,0,0,49421,3124,1,4,1,unimportant
6,3,0.4,0.2,1.485577,1.304351,0.225281,0.318257,0.001178,0.000658,0.186239,0.13371,0,0,4010,1142,1,5,1,unimportant
6,1,0.181818,0.125,-1.695465,-2.975303,0.225281,0,0.000123,0.000296,0,0,0,0,96528,4453,1,2,13,unimportant
15,1,0.109489,0.5,3.206769,1.01064,0.257375,0,0.014346,0.000424,0.541092,0.136931,0,0,1793,355,1,1,7,unimportant
3,1,0.5,0.2,0.505059,-0.081631,0.366204,0,0.000185,0.000205,0,0,0,0,5345,960,1,8,2,unimportant
3,1,0.1,0.2,0.3125,-0.27419,0.366204,0,0.001183,0.000441,0.187217,0.084256,0,0,6480,903,1,2,7,unimportant
5,1,0.263158,1,1.788638,0.691122,0.316757,0,0.002284,0.000293,0.296667,0.052648,0,0,2468,977,1,4,17,unimportant
14,3,0.109375,0.111111,6.639902,2.843392,0.205058,0.366204,0.018482,0.003859,0.657739,0.419816,1,1,2673,546,1,1,1,important
17,1,0.151786,1,9.083108,3.99383,0,0,0.1,0.001007,0.810157,0.334463,0,0,282,100,1,1,1,important
1,1,0.043478,0.1,2.13606,-0.120005,0,0,0.000283,0.000176,0.296228,0,0,0,17253,2012,1,1,13,important
6,3,0.139535,0.176471,4.629173,1.679961,0.310613,0,0.003257,0.003873,0.506825,0.36914,0,0,8556,976,1,1,2,important
1,1,1,1,3.26737,1.011305,0,0,0.000262,0.000218,0.290222,0.03856,0,0,5566,1114,1,1,7,unimportant
3,2,0.111111,0.222222,1.123541,-1.537989,0,0,0.000074,0.000095,0.180687,0,0,0,142468,6763,0,1,1,unimportant
1,36,0.2,0.257143,0.159444,1.486897,0,0.192372,0.000023,0.001152,0.080394,0.211031,0,0,124537,5210,0,1,1,unimportant
9,1,0.140625,0.25,4.061464,-0.391825,0.318257,0,0.000531,0.000143,0.350336,0,0,0,22642,2267,1,1,1,unimportant
3,1,0.3,0.1,4.388857,-2.205259,0.318257,0,0.000543,0.000378,0.37027,0,0,0,14108,1418,1,2,5,important
1,114,0.125,0.187809,4.935987,4.176682,0,0.1336,0.000493,0.019252,0.363113,0.503676,0,0,2721,466,1,1,1,unimportant
1,8,0.5,0.235294,4.258956,0.842894,0,0,0.000269,0.000942,0.311883,0.05263,0,0,5355,1008,1,6,1,unimportant
1,11,0.2,0.234043,5.332125,2.234516,0,0.152318,0.00135,0.003972,0.447792,0.322312,0,0,1831,315,1,1,1,unimportant
1,11,0.2,0.255814,2.309557,-0.788051,0,0.327741,0.000038,0.000663,0.146502,0,0,0,37616,4332,1,1,5,unimportant
6,50,0.352941,0.132275,4.056632,0.681391,0.289188,0.113484,0.000223,0.00742,0.295721,0.242118,0,0,39335,2877,1,1,1,unimportant
5,24,0.625,0.212389,7.259743,3.332855,0.321888,0.152111,0.003311,0.002557,0.525204,0.335254,0,0,1332,327,1,2,1,unimportant
3,8,0.75,0.156863,5.740598,1.225923,0.366204,0,0.000595,0.000936,0.379029,0.129647,0,0,3651,640,1,5,5,unimportant
2,23,0.2,0.277108,4.783097,1.729941,0.346574,0.14772,0.001376,0.00414,0.448439,0.263387,0,0,6341,685,1,1,1,unimportant
3,28,0.214286,0.2,4.296567,1.034656,0,0.188749,0.000656,0.004252,0.386016,0.208145,0,0,15472,1558,1,6,1,unimportant
6,34,0.26087,0.231293,3.621732,-0.13917,0.318257,0.109043,0.000148,0.005622,0.261277,0.175669,0,0,60765,2752,1,1,1,unimportant
5,6,0.277778,0.315789,7.287914,1.974732,0,0.225281,0.006098,0.001732,0.574572,0.252454,0,0,1295,258,1,5,1,unimportant
1,38,0.2,0.265734,3.667442,1.809524,0,0.193836,0.00039,0.004938,0.342805,0.265983,0,0,9675,1212,1,1,1,unimportant
1,23,0.25,0.181102,2.40599,0.04598,0,0.194301,0.000049,0.003065,0.169211,0.099897,0,0,34158,2525,1,2,1,unimportant
2,19,0.666667,0.22093,5.325592,2.08138,0.346574,0,0.000602,0.002033,0.3801,0.229324,0,0,3686,650,1,6,1,unimportant
1,59,0.076923,0.155263,4.424941,3.006975,0,0.132392,0.000295,0.009367,0.319518,0.381864,0,0,4536,956,1,1,1,unimportant
2,104,0.133333,0.224138,3.205676,1.661416,0,0.132355,0.000116,0.008351,0.240938,0.277896,0,0,30706,2123,1,1,1,unimportant
2,1,0.5,0.111111,4.755413,-1.433238,0.346574,0,0.000284,0.000204,0.316246,0,0,0,6519,902,1,2,3,unimportant
6,13,0.428571,0.19403,6.124522,1.402208,0,0,0.001626,0.003243,0.462427,0.22783,0,0,4974,885,1,1,1,unimportant
2,9,0.133333,0.642857,2.512936,2.844437,0.346574,0.353619,0.001799,0.001856,0.430056,0.330463,0,0,11441,1566,1,1,6,important
3,8,0.111111,0.380952,3.472634,3.280887,0.318257,0.27791,0.002737,0.003192,0.46839,0.392024,0,0,6573,1030,1,1,5,important
37,2,0.226994,0.333333,10.333014,6.242667,0.242523,0.346574,0.336957,0.006865,0.932672,0.567927,0,0,85,30,1,1,6,important
4,5,0.444444,0.555556,5.466815,4.517383,0.346574,0.250201,0.00443,0.006579,0.517171,0.500447,0,0,1193,164,1,4,6,important
7,2,0.111111,0.222222,4.897547,2.472208,0.341454,0.346574,0.011236,0.001617,0.596572,0.32817,0,0,3689,601,1,1,3,important
1,1,0.5,0.333333,4.327414,3.154839,0,0,0.00318,0.001056,0.490505,0.319983,1,1,932,223,1,1,3,important
1,12,0.1,0.705882,4.886226,6.198557,0,0.309171,0.002232,1,0.463029,1,0,0,533,256,1,1,1,unimportant
1,1,0.333333,1,-0.083874,-1.25645,0,0,0.000018,0.000018,0.015837,0,0,1,76774,5200,1,1,1,unimportant
1,1,0.25,0.5,0.201284,-0.971292,0,0,0.000055,0.000054,0.114369,0,0,0,57726,3435,1,3,6,unimportant
3,12,0.230769,0.3,0.818841,1.03256,0.366204,0.299712,0.00008,0.00027,0.148232,0.118834,0,0,93388,5886,0,1,1,unimportant
1,1,0.25,0.5,3.951716,2.77914,0,0,0.000835,0.001321,0.365115,0.319698,0,0,1357,672,1,3,5,unimportant
1,1,0.1,0.5,3.928408,2.755832,0,0,0.000916,0.007143,0.373983,0.502951,0,0,1389,322,1,1,24,unimportant
6,1,0.333333,0.1,7.850561,4.886226,0,0,1,0.002232,1,0.463029,0,0,165,41,1,1,1,unimportant
1,1,0.1,0.25,6.501308,5.328732,0,0,0.015267,0.006711,0.682988,0.561613,0,0,106,49,1,1,7,unimportant
3,1,0.1875,1,1.883452,-0.387737,0.318257,0,0.000129,0.000255,0.191863,0.113754,0,0,32206,4086,1,1,8,unimportant
1,4,0.25,0.363636,1.621943,1.835661,0,0,0.000482,0.000464,0.311166,0.181186,0,0,13944,1791,1,1,1,unimportant
2,1,0.166667,1,2.207366,0.341642,0,0,0.000662,0.000184,0.339655,0.080614,0,0,15530,2321,1,2,34,unimportant
8,20,0.8,0.235294,5.002618,2.80771,0.188385,0.177087,0.002578,0.009235,0.461817,0.466161,1,1,4612,810,1,1,1,important
3,7,0.75,0.538462,3.037685,0.773785,0.318257,0.205058,0.000692,0.00336,0.341341,0.307365,0,0,12339,1567,1,1,1,important
1,2,0.25,0.666667,5.887322,3.469272,0,0,0.005128,0.000615,0.560919,0.298322,0,0,238,72,1,9,1,important
1,30,0.5,0.545455,3.989992,4.279992,0,0.122465,0.00096,0.015183,0.376263,0.558474,0,0,1587,417,1,7,1,important
2,3,0.5,0.375,4.489539,1.783807,0,0,0.00145,0.003211,0.412089,0.367408,0,0,1926,464,1,15,1,important
15,10,0.483871,0.227273,7.34863,3.831967,0.250201,0.162541,0.019886,0.00892,0.652268,0.503052,0,0,828,236,1,2,1,important
1,3,0.333333,0.428571,3.865163,1.852577,0,0.366204,0.000721,0.001065,0.348779,0.231059,0,0,1798,549,1,22,5,unimportant
1,2,0.5,0.125,5.735575,3.317525,0,0,0.004587,0.001821,0.545832,0.394053,1,1,277,101,1,23,1,unimportant
1,20,0.25,0.350877,0.264018,0.148552,0,0,0.000022,0.000737,0.029509,0.097167,0,0,65879,5218,0,7,1,unimportant
1,22,0.333333,0.392857,6.161096,6.14094,0,0,0.011561,0.016456,0.640129,0.617557,0,0,181,95,1,12,1,unimportant
1,94,1,0.348148,0.240184,1.672281,0,0.119454,0.00002,0.002714,0.018205,0.260327,0,0,67468,5766,0,28,1,unimportant
1,8,0.25,0.296296,4.359258,3.327502,0,0.188385,0.001255,0.005866,0.402525,0.452648,0,0,1097,330,1,13,2,unimportant
1,2,1,1,1.722156,-0.695894,0,0,0.000087,0.000231,0.152657,0,0,0,15328,1646,1,14,1,unimportant
1,1,0.25,0.333333,3.324638,0.21344,0,0,0.000554,0.000309,0.323879,0.062124,0,0,3087,492,1,9,1,unimportant
1,25,0.111111,0.471698,1.529722,3.211875,0,0.336506,0.004264,0.010012,0.471947,0.513546,0,0,625,297,1,1,1,important
2,20,0.333333,0.5,2.603836,3.369699,0.346574,0,0.005642,0.007912,0.514605,0.508506,0,0,427,130,1,1,1,important
1,35,1,0.603448,1.263059,3.281685,0,0.262626,0.002791,0.012571,0.415729,0.53237,0,0,816,316,1,9,3,important
1,1,1,0.5,3.179981,1.643259,0,0,0.007692,0.000476,0.561697,0.283839,0,0,120,69,1,27,25,important
1,9,0.111111,0.45,1.797862,2.458365,0,0.318257,0.001248,0.003793,0.352064,0.420174,0,0,478,249,1,1,11,important
3,1,0.333333,1,4.450965,1.81563,0,0,0.005964,0.00096,0.542693,0.360484,0,0,101,52,1,1,5,important
2,45,0.222222,0.692308,0.913887,2.490681,0.346574,0.244648,0.000824,0.012374,0.250959,0.51553,0,0,2314,747,1,1,1,important
1,1,0.111111,1,0.864974,-0.671748,0,0,0.000772,0.000348,0.265598,0.104678,0,0,1215,397,1,2,23,important
